장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:02.00,00:01.00,역대급 추석특가!!!!!,대형 창고의 긴 통로 양쪽에서 사람들이 상품 박스를 옮김,규모 훅,한눈에 큰 물량을 보여줘 행사를 사건화한다.
2,00:02.00 ~ 00:03.80,00:02.90,눈 1초도 감지 말고,남성이 여러 종류의 고기 선물세트를 들고 정면 등장,주의 환기,시청 행동을 직접 지시해 빠른 상품 나열을 준비한다.
3,00:03.80 ~ 00:05.00,00:04.40,집중해서 보세요!,같은 화자가 제품을 화면 가까이 제시,집중 명령,짧은 명령형으로 이탈을 막는다.
4,00:05.00 ~ 00:06.40,00:05.70,지난번 구이 특가로 대박난,팬에서 두꺼운 스테이크가 익는 초근접,성과 회상,이전 행사 성공을 사회적 증거로 사용한다.
5,00:06.40 ~ 00:08.00,00:07.20,설록우 찰진등심 특가에 이어,검은 장갑 손과 여러 정육 팩이 하트 모양을 만듦,행사 연결,기존 인기 상품의 후속 행사라는 맥락을 만든다.
6,00:08.00 ~ 00:09.10,00:08.55,이번 추석엔 할인 품목이,갈비찜·전·명절 음식이 가득한 상차림,혜택 예고,명절 사용 장면으로 카테고리 확장을 알린다.
7,00:09.10 ~ 00:10.00,00:09.55,미친 듯이 쏟아집니다!,대형 할인 매장을 위에서 내려다본 장면,규모 강조,과장된 물량 표현과 넓은 매장 화면을 결합한다.
8,00:10.00 ~ 00:10.50,00:10.25,알등심스테이크,마블링이 선명한 두꺼운 생등심,상품 나열,상품명을 완성 비주얼과 빠르게 매칭한다.
9,00:10.50 ~ 00:11.50,00:11.00,대패등심,대패등심과 채소를 전골처럼 익히는 장면,상품 나열,조리 결과로 용도를 즉시 이해시킨다.
10,00:11.50 ~ 00:12.00,00:11.75,LA갈비,양념 국물에 익는 LA갈비,상품 나열,0.5초 컷으로 선택 폭을 넓힌다.
11,00:12.00 ~ 00:12.50,00:12.25,토마호크,손에 든 두꺼운 토마호크 생고기,상품 나열,형태가 강한 상품을 매크로로 보여준다.
12,00:12.50 ~ 00:13.50,00:13.00,"떡갈비, 닭갈비",붉은 양념의 떡갈비와 닭갈비가 팬에서 익음,상품 나열,두 상품을 한 컷에 묶어 속도를 높인다.
13,00:13.50 ~ 00:14.00,00:13.75,특마블등심,팬에서 굽는 고마블 등심,상품 나열,마블링과 지글거림으로 프리미엄 이미지를 준다.
14,00:14.00 ~ 00:15.00,00:14.50,소찜갈비,뚝배기에서 끓는 갈비찜,상품 나열,명절 대표 요리를 삽입한다.
15,00:15.00 ~ 00:16.00,00:15.50,통안심속살까지!,불판 위 두꺼운 안심을 젓가락으로 들어 올림,나열 마감,‘까지’로 품목의 폭을 마무리한다.
16,00:16.00 ~ 00:16.50,00:16.25,"아, 잠깐만요!",밥 위 고기를 올리다 멈추는 장면,코믹 정지,빠른 나열을 갑자기 끊어 리듬을 바꾼다.
17,00:16.50 ~ 00:17.50,00:17.00,종류가 너무 많아서,스마트폰 화면과 생등심을 함께 보여줌,정보 과잉 공감,많은 품목 자체를 혜택으로 전환한다.
18,00:17.50 ~ 00:19.00,00:18.25,다 말하기도 입 아프네ㅎ,마블링 생등심을 화면 가득 확대,친근한 생략,가벼운 농담으로 세일즈 부담을 낮춘다.
19,00:19.00 ~ 00:19.50,00:19.25,무튼 이번엔 진짜,고기를 올린 밥그릇 먹방,결론 예고,일상어로 행사 핵심으로 다시 모은다.
20,00:19.50 ~ 00:21.00,00:20.25,창고째 털 작정입니다!,진공 포장육 여러 팩을 검은 장갑으로 펼침,행사 규모,재고를 모두 푼다는 이미지를 시각화한다.
21,00:21.00 ~ 00:21.50,00:21.25,긴말 필요 없이,스테이크 단면을 검은 장갑으로 벌림,혜택 직전 전환,설명을 줄이고 가격으로 바로 넘어간다.
22,00:21.50 ~ 00:23.00,00:22.25,등급·유통 거품 싹 도려내고,두꺼운 원육을 칼로 손질하는 장면,할인 근거,칼질 화면으로 ‘도려내다’를 문자 그대로 시각화한다.
23,00:23.00 ~ 00:24.50,00:23.75,최대 88% 할인까지,여러 포장육 위에 할인 자막을 크게 노출,최대 혜택,가장 강한 숫자를 CTA 직전에 고정한다.
24,00:24.50 ~ 00:25.00,00:24.75,갑니다-!!!!!!!!,포장육을 한꺼번에 펼친 장면,혜택 확정,늘인 말투와 느낌표로 흥분감을 높인다.
25,00:25.00 ~ 00:26.30,00:25.65,명절 직전에는 물량 부족으로,정갈하게 진열된 원육 앞 작업 도구,품절 근거,재고 부족의 이유를 명절 수요로 설명한다.
26,00:26.30 ~ 00:27.50,00:26.90,조기 품절될 수 있으니,배송 상자가 대량으로 쌓인 작업장,긴급성,실제 출고량처럼 보이는 화면으로 품절 가능성을 보강한다.
27,00:27.50 ~ 00:28.50,00:28.00,지금 바로 아래 비밀링크에서,상품 목록이 보이는 페이지를 흐림 처리,행동 위치,구매 경로를 단순하게 지정한다.
28,00:28.50 ~ 00:29.50,00:29.00,서둘러 구매하세요!,두 팩의 마블링 등심을 정면 제시,마감 CTA,상품을 마지막에 재노출하고 즉시 구매를 촉구한다.
