장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:00.80,00:00.20,씻고 나왔는데,땀에 젖은 AI 클레이 남성이 욕실 샤워부스 앞에서 난감한 표정을 지음,상황 훅,샤워 직후라는 일상 상황만 먼저 제시해 다음 문제를 기다리게 한다.
2,00:00.80 ~ 00:02.50,00:01.40,3분만에 또 땀 나는 분,얼굴과 상체에 땀이 맺힌 남성을 빠르게 클로즈업,타깃 호명,‘3분’이라는 구체 시간과 땀 비주얼로 여름철 불편을 즉시 자기 문제로 느끼게 한다.
3,00:02.50 ~ 00:03.50,00:02.80,샤워하고,남성이 샤워부스 안에서 몸을 씻음,행동 1,짧은 동사형 자막으로 반복 서사의 첫 단계를 만든다.
4,00:03.50 ~ 00:04.50,00:03.80,머리 말리고,가운을 입은 남성이 거울 앞에서 헤어드라이어로 머리를 말림,행동 2,동일 인물과 욕실 공간을 유지해 실제 생활 루틴처럼 보이게 한다.
5,00:04.50 ~ 00:06.00,00:05.20,근데 또 땀,머리를 말리던 남성이 다시 땀을 흘리며 손과 얼굴을 확인함,문제 재발,해결됐다고 생각한 순간 문제가 반복되는 반전을 만든다.
6,00:06.00 ~ 00:06.60,00:06.40,…지금 뭐하는 거지,땀에 젖은 남성이 거울을 보며 허탈한 표정을 지음,자기 인식,시청자가 느낄 허무함을 독백으로 대신 말해 코미디를 강화한다.
7,00:06.60 ~ 00:06.95,00:06.70,샤워 →,남성이 다시 샤워부스에서 씻음,루프 1-1,화살표 자막으로 반복 구조의 첫 단계를 시각적으로 단순화한다.
8,00:06.95 ~ 00:07.25,00:07.00,드라이 →,남성이 다시 거울 앞에서 머리를 말림,루프 1-2,같은 동작을 재사용해 반복되는 불편을 빠르게 전달한다.
9,00:07.25 ~ 00:08.10,00:07.60,또 땀,머리를 말린 직후 남성이 다시 땀을 흘림,루프 1-3,짧은 결과 자막으로 문제의 핵심을 재각인한다.
10,00:08.10 ~ 00:08.40,00:08.20,샤워 →,남성이 또다시 샤워부스로 돌아감,루프 2-1,같은 자막과 행동을 두 번째 반복해 실제 무한 루프처럼 느끼게 한다.
11,00:08.40 ~ 00:08.70,00:08.50,드라이 →,남성이 다시 헤어드라이어로 머리를 말림,루프 2-2,0.3초 안팎의 매우 짧은 컷으로 반복 속도를 높인다.
12,00:08.70 ~ 00:09.30,00:08.80,또 땀,남성이 다시 땀에 젖어 수건으로 얼굴을 닦음,루프 2-3,같은 실패 결과를 한 번 더 보여 문제의 답답함을 과장한다.
13,00:09.30 ~ 00:10.00,00:09.60,무한반복 ∞,샤워·드라이·땀 장면을 빠르게 교차하며 반복 표시를 붙임,갈등 절정,반복된 세 단계를 하나의 무한 루프로 명명해 기억점을 만든다.
14,00:10.00 ~ 00:11.20,00:10.60,이 루프 끊는 방법 있어요,욕실 화면이 빠르게 이동한 뒤 남성이 제품을 들고 나타남,해결 예고,문제 서사를 끝내고 해결책 공개로 자연스럽게 전환한다.
15,00:11.20 ~ 00:12.20,00:11.60,(별도 메인 자막 없음),오리지널소스 민트 티트리 샤워젤이 화면 중앙으로 크게 확대됨,상품 공개,텍스트 대신 패키지를 크게 보여 제품명을 직접 읽게 한다.
16,00:12.20 ~ 00:14.00,00:12.80,"민트잎 7,927장의",샤워부스 안으로 민트잎과 얼음이 쏟아지고 하단에 제품을 배치,수치 USP,원료 수치를 단순 낭독하지 않고 수천 장이 쏟아지는 장면으로 과감하게 시각화한다.
17,00:14.00 ~ 00:15.20,00:14.60,극강의 쿨링으로,청록색 냉기와 민트잎이 남성 주변을 감싸고 표정이 편안해짐,효익 전환,불편했던 인물의 상태 변화를 색감과 표정으로 보여준다.
18,00:15.20 ~ 00:17.00,00:15.80,나와서도 한참 시원해요,샤워 후 가운을 입은 남성이 뽀송한 얼굴로 서 있고 민트잎이 떠다님,사용 결과,샤워 중이 아니라 샤워 후까지 이어지는 체감 효익을 장면으로 증명한다.
19,00:17.00 ~ 00:18.70,00:17.80,오늘 샤워는 한 번이면 끝,남성이 욕조에 편안히 기대고 도시 풍경을 바라보며 휴식,문제 해결,초반의 무한 반복을 ‘한 번이면 끝’이라는 반대 문장으로 회수한다.
20,00:18.70 ~ 00:20.70,00:19.60,영국에선 1초에 하나씩 팔려요,영국 거리 미니어처에 대형 제품과 실시간 판매 카운터를 배치,사회적 증거,판매 속도 주장을 영국 배경과 숫자 카운터로 사건처럼 연출한다.
21,00:20.70 ~ 00:23.50,00:22.00,엄청 시원합니다 천국이에요,제품을 흐린 배경으로 두고 실제 구매자 후기 카드와 별점을 겹쳐 보여줌,후기 증거,앞선 연출을 구매 후기 문장으로 다시 확인해 광고 주장에 현실감을 더한다.
22,00:23.50 ~ 00:26.20,00:24.80,"폭염에 주문 폭주중! / 12,000원 / 품절 전에 챙기세요","젖은 민트잎 배경 위 제품, 붉은 경고 버튼, 12,000원 가격과 품절 CTA를 크게 배치",단품 판매 CTA,단품 가격과 품절 메시지를 한 장에 집중시켜 즉시 구매를 유도한다.
