장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:01.80,00:00.80,형님들 아직도 소고기,불판 위 두꺼운 등심을 젓가락으로 들어 올린 초근접 먹방 컷,질문형 훅,완성 음식과 호칭형 문장으로 즉시 타깃을 부른다.
2,00:01.80 ~ 00:03.00,00:02.40,제값 주고 드세요?,라이브 방송 UI 안에서 남성 진행자가 생고기를 들고 정면 질문,문제 제기,‘비싸게 사고 있다’는 손실 회피 심리를 자극한다.
3,00:03.00 ~ 00:04.00,00:03.40,답답해서 제가,진행자가 집게로 고기를 들며 표정 연기,화자 등장,해결사를 자처하며 다음 문장을 기다리게 한다.
4,00:04.00 ~ 00:05.00,00:04.50,"직접 도매가로 뚫어왔습니다! / 4,980원(100g당)",정육 작업자가 큰 원육을 자르는 장면,해결·가격 공개,현장 소스와 구체 가격을 동시에 제시해 신뢰와 충격을 만든다.
5,00:05.00 ~ 00:06.80,00:05.80,여긴 가격부터 반칙인데,흰 트레이에 등심을 가득 올려 정면 제시,가격 예고,정확한 가격 전 ‘반칙’이라는 평가를 먼저 붙여 기대를 키운다.
6,00:06.80 ~ 00:08.00,00:07.30,1kg 한 박스가,진행자가 진공 포장육 여러 팩을 양손에 펼침,구성 명시,수량 단위를 먼저 고정해 뒤의 가격이 더 크게 느껴지게 한다.
7,00:08.00 ~ 00:10.00,00:08.80,"단돈 49,800원!",마블링이 선명한 생등심을 화면 가득 확대,가격 충격,짧은 숫자 자막과 매크로 컷으로 핵심 혜택을 각인한다.
8,00:10.00 ~ 00:11.00,00:10.40,"웬만한 삼겹살 가격이랑 / 4,980원(100g당)",고기 한 점으로 밥을 감싼 먹음직스러운 컷,비교 기준,익숙한 삼겹살을 앵커로 삼아 가격을 이해시킨다.
9,00:11.00 ~ 00:12.00,00:11.40,별 차이가 없어요ㅎㅎ,고기+밥 한입을 화면 중앙에 유지,비교 결론,가벼운 말투로 과도한 세일즈 느낌을 줄인다.
10,00:12.00 ~ 00:13.00,00:12.40,25년 동안 등심만,진행자가 포장 등심을 들고 설명,경력 근거,연차를 숫자로 제시해 전문성을 만든다.
11,00:13.00 ~ 00:14.00,00:13.40,미친듯이 파고든 업체라,같은 진행자 클로즈업,전문성 강화,구어체 과장으로 딱딱한 회사 소개를 광고 문법으로 바꾼다.
12,00:14.00 ~ 00:16.00,00:14.80,애초에 질기고 퍽퍽한 고기는,육즙 가득한 단면을 검은 장갑으로 눌러 보여줌,반대 속성 제거,고객이 싫어하는 식감을 먼저 명시해 불안을 선제 해소한다.
13,00:16.00 ~ 00:18.00,00:16.80,28개월 이내의 어린 소만을,축사에서 어린 소를 안고 보여주는 장면,원육 기준,원육 선택 기준을 실제 축사 장면으로 증명한다.
14,00:18.00 ~ 00:19.00,00:18.40,깐깐하게 선별해서,축사에서 체크리스트로 개체를 확인,검수 증거,행동 장면으로 ‘선별’이라는 추상어를 시각화한다.
15,00:19.00 ~ 00:21.00,00:19.80,"잡내, 누린내 하나없이 부드럽고",아버지 세대 남성이 고기를 먹고 만족하는 리액션,맛 검증,타깃이 신뢰할 만한 생활형 인물 반응을 배치한다.
16,00:21.00 ~ 00:22.00,00:21.40,씹을수록 고소한 육향이,팬 위에서 육즙이 흐르는 스테이크 클로즈업,감각 묘사,맛을 ‘육향’으로 구체화하고 지글거리는 화면과 결합한다.
17,00:22.00 ~ 00:23.00,00:22.40,계속 올라오니까,진행자가 포장육을 들고 말함,감각 연결,짧은 연결 자막으로 다음 리액션 컷을 준비한다.
18,00:23.00 ~ 00:24.00,00:23.40,눈 돌아가서,진행자가 큰 고기를 베어 물며 과장된 눈빛,코믹 리액션,강한 표정 연기로 리뷰를 사건처럼 만든다.
19,00:24.00 ~ 00:25.00,00:24.40,진짜 끝도 없이 먹게되더라고요;;,배를 드러낸 진행자와 여러 장의 고기,과장 후기,밈성 있는 자기폭로로 기억점을 만든다.
20,00:25.00 ~ 00:27.00,00:25.80,제가 이번에 도매 측 지인 찬스로,도축 현장에서 진행자와 관계자가 악수,시크릿 경로,‘지인 찬스’로 혜택의 이유를 스토리화한다.
21,00:27.00 ~ 00:29.00,00:27.80,유통 마진 거품 싹 뺀 ‘찐 도매가’인,생등심 마블링 매크로와 포장육 전환,가격 근거,도매 구조를 가격의 이유로 연결한다.
22,00:29.00 ~ 00:30.00,00:29.40,"4,980원에 가져왔으니까 / 100g당",진공 포장된 등심 여러 팩,가격 재각인,CTA 직전 핵심 숫자를 다시 노출한다.
23,00:30.00 ~ 00:31.00,00:30.40,외식 갈 때마다,윤기 나는 고기를 밥 위에 높게 쌓은 컷,사용 상황,일상 지출 상황으로 타깃의 문제를 다시 호출한다.
24,00:31.00 ~ 00:33.00,00:31.80,소고기 비싸서 고민이던 형님들,같은 고기 덮밥 장면을 유지,타깃 재호명,초반 호칭을 반복해 메시지를 개인화한다.
25,00:33.00 ~ 00:34.00,00:33.40,아래 특가 링크에서,진행자가 포장 등심을 화면 가득 제시,CTA 안내,행동 위치를 단순하게 지시한다.
26,00:34.00 ~ 00:35.48,00:35.10,원없이 질릴때까지 드셔보세요!,진행자가 포장육을 들고 웃으며 마무리,과장형 CTA,‘질릴 때까지’라는 강한 구어체로 대용량·가성비를 마감한다.
