장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:02.00,00:00.80,베트남 농장 직송,나무에서 깔라만시를 따는 산지 삽입 영상,산지 훅,국가와 유통 경로를 첫 장면에 제시한다.
2,00:02.00 ~ 00:04.00,00:02.80,100% 생깔라만시 원액!,생과를 손으로 까서 과육을 보여줌,원물 USP,제품이 아닌 생과 매크로로 원물감을 만든다.
3,00:04.00 ~ 00:05.00,00:04.40,드디어 한국에 상륙했습니다!,화자가 깔라만시 바구니를 들고 정면 등장,신제품 사건,‘상륙’이라는 뉴스형 표현으로 출시를 사건화한다.
4,00:05.00 ~ 00:07.00,00:05.80,붓기와 체지방 관리에 제법인 깔라만시를,비포·애프터 얼굴 비교 이미지를 삽입,효익 제시,관심 효익을 빠르게 시각화한다.
5,00:07.00 ~ 00:10.00,00:08.20,농장에서 갓 따 그대로 짜낸,농장 배경 화자가 아이스박스 속 제품을 듦,산지·신선함,화자와 산지 배경을 결합해 직송 신뢰를 만든다.
6,00:10.00 ~ 00:12.00,00:10.80,100% 비가열 생즙으로,현장 착즙 삽입 영상,제조 USP,실제 제조 동작으로 비가열 생즙을 설명한다.
7,00:12.00 ~ 00:14.00,00:12.80,"1kg에 단돈 9,900원!",아이스박스 상품 정면,가격 훅,중량과 가격을 한 번에 고정한다.
8,00:14.00 ~ 00:16.00,00:14.80,무료배송으로 가져왔습니다!,화자가 상품을 크게 들고 말함,추가 혜택,배송비 장벽을 바로 제거한다.
9,00:16.00 ~ 00:18.00,00:16.80,시중 99%는 끓여서 영양이 파괴되지만,과실을 끓이는 냄비 삽입 영상,경쟁 비교,일반 제품 공정을 부정적으로 대비한다.
10,00:18.00 ~ 00:20.00,00:18.80,이건 착즙 직후 꽁꽁 얼려,상품을 든 화자,보존 공정,급속 냉동을 차별적 과정으로 제시한다.
11,00:20.00 ~ 00:22.00,00:20.80,레몬 38배 비타민C를 그대로 살려서,비교 그래픽과 화자,수치 USP,숫자 비교로 기억점을 만든다.
12,00:22.00 ~ 00:24.00,00:22.80,시원한 물에 타 마시면,생과즙을 물에 넣는 삽입 영상,사용법,복용 장벽을 낮추는 짧은 시연이다.
13,00:24.00 ~ 00:27.00,00:25.20,몸속 찌꺼기가 싹 빠지는 느낌!,화자가 음료를 마시고 개운한 표정,체감 후기,설명보다 느낌 중심의 강한 구어체를 사용한다.
14,00:27.00 ~ 00:29.00,00:27.80,"근데 단돈 9,900원?",상품을 든 화자의 놀란 표정,가격 재각인,USP 직후 가격을 반복해 가성비를 강화한다.
15,00:29.00 ~ 00:31.00,00:29.80,이 가격에 농장 직송 생착즙은,산지의 깔라만시가 대량으로 놓인 장면,대체 불가성,원물 화면과 가격 문장을 결합한다.
16,00:31.00 ~ 00:33.00,00:31.80,진짜 없다니까요?,화자 얼굴과 상품을 가까이 보여줌,희소 가치,대화체 확신으로 검색 이탈을 줄인다.
17,00:33.00 ~ 00:34.00,00:33.40,한정 수량이라,화자가 아이스박스를 들고 말함,수량 제한,마감의 이유를 제시한다.
18,00:34.00 ~ 00:36.00,00:34.80,재고 빠지면 바로 종료되니,제품 포장 라인 삽입 영상,긴급성,실제 포장·재고 화면으로 신빙성을 높인다.
19,00:36.00 ~ 00:38.00,00:36.80,아래 링크에서 비밀특가로,화자와 상품 정면,비밀특가 CTA,링크를 특별한 구매 경로처럼 만든다.
20,00:38.00 ~ 00:39.02,00:38.40,빨리 챙겨가세요!,상품 정면과 깔라만시 캐릭터,긴급 CTA,행동 동사를 짧게 사용해 마감한다.
