장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:02.50,00:01.25,요즘 커뮤니티에서 묵은 독소 배출템으로 입소문 난,온라인 후기 화면과 복부 비포·애프터를 빠르게 보여줌,사회적 이슈 훅,커뮤니티 화제와 외형 변화를 결합해 제품을 사건화한다.
2,00:02.50 ~ 00:03.50,00:03.00,100% 깔라만시 생즙,검은 장갑이 병 제품을 카메라에 제시,상품 확인,제품 정체를 짧게 고정한다.
3,00:03.50 ~ 00:05.00,00:04.25,한 번 먹어보게 할인 좀 해주세요!!,"정가 39,800원 표지 앞에서 제품을 흔듦",갈등 시작,소비자가 가격을 깎는 구도로 광고 거부감을 낮춘다.
4,00:05.00 ~ 00:07.00,00:06.00,"(하.. 또 시작이네...) / 정가 39,800원",판매자 역할 여성이 얼굴을 감싸고 한숨,코믹 저항,반복되는 흥정 관계를 캐릭터화한다.
5,00:07.00 ~ 00:09.00,00:08.00,이거 레몬 30배 비타민C에,노란 원액을 얼음잔에 붓는 장면,영양 반박,가격 인하 전에 높은 제품 가치를 먼저 고정한다.
6,00:09.00 ~ 00:10.00,00:09.50,시네프린까지 들어있어서,세척 라인을 지나는 생깔라만시,성분 USP,원물 공정 화면으로 성분 설명을 받친다.
7,00:10.00 ~ 00:11.00,00:10.50,똥배 관리랑,허리선을 보여주는 여성,효익 예고,타깃이 원하는 외형 효익을 직설적으로 부른다.
8,00:11.00 ~ 00:12.00,00:11.50,묵은 독소 배출하는데,탄산병이 넘치는 비교·반응 장면,체감 효익,강한 배출 이미지를 과장된 시각 효과로 표현한다.
9,00:12.00 ~ 00:13.00,00:12.50,대박인 거 아시죠????,복부를 잡고 놀란 여성이 카메라를 봄,효익 결론,질문형으로 시청자의 동의를 요구한다.
10,00:13.00 ~ 00:14.00,00:13.50,시중 99%는,제품 병을 야외에서 손에 듦,경쟁 비교 예고,대다수 제품과의 차이를 준비한다.
11,00:14.00 ~ 00:15.00,00:14.50,다 끓여 만든 가열 제품이라,냄비에서 깔라만시를 끓이는 장면,공정 문제,가열 공정을 직접 보여줘 부정적 대비를 만든다.
12,00:15.00 ~ 00:16.50,00:15.75,영양 다 파괴됐다구...!!,제품 묶음을 펼쳐 보임,경쟁 약점,판매자의 항변 말투로 품질 우위를 강조한다.
13,00:16.50 ~ 00:17.50,00:17.00,그런데 이거 1kg 맞죠?,전자저울 수치와 제품 중량 비교,구성 확인,가격 협상 전에 실제 중량을 확인한다.
14,00:17.50 ~ 00:19.00,00:18.25,인정은 제대로 한 거지,검은 장갑이 정가 표지 앞에서 하트를 만듦,협상 압박,소비자가 제품 가치를 인정하면서도 할인을 요구한다.
15,00:19.00 ~ 00:20.00,00:19.50,비밀특가 시작하자고 어제요!!!,검은 장갑이 정가 숫자를 가리킴,할인 요구,가격표를 직접 가리켜 갈등을 구체화한다.
16,00:20.00 ~ 00:22.00,00:21.00,"그럼 1kg 14,800원!","판매자가 14,800원 가격표를 들어 첫 할인을 제시",1차 가격 인하,정가 대비 큰 폭의 첫 할인을 사건의 단계로 만든다.
17,00:22.00 ~ 00:24.50,00:23.25,정확한 거 어디서 봤죠? / 진짜 도둑 제대로 오셨네...,검은 장갑의 엑스 제스처와 판매자 가격표,추가 흥정,첫 할인도 거절해 최종 가격에 대한 기대를 키운다.
18,00:24.50 ~ 00:26.00,00:25.25,이거 착즙하자마자 얼린 뒤,현장에서 생과를 바로 착즙,보존 공정,협상 중간에 제품 근거를 삽입해 가격만 남지 않게 한다.
19,00:26.00 ~ 00:28.00,00:27.00,밭에서 갓 딴 신선한 S급A 당도,나무에서 깔라만시를 까서 과육을 보여줌,원물 등급,산지 원물의 신선함과 선별 기준을 시각화한다.
20,00:28.00 ~ 00:29.00,00:28.50,국내 유일 생즙인데다,생과를 손으로 짜 원액을 보여줌,희소 USP,가공 차별점을 독점성으로 표현한다.
21,00:29.00 ~ 00:31.00,00:30.00,베트남 최대규모 TS푸드 공장에서,해외 농장에서 관계자들이 원물을 확인,제조 규모,해외 생산 기반을 넓은 산지 장면으로 증명한다.
22,00:31.00 ~ 00:32.00,00:31.50,한국인 감독관이 직접,현대식 공장에서 원물을 압착,품질 관리 예고,관리 주체를 구체적으로 제시한다.
23,00:32.00 ~ 00:33.50,00:32.75,검수해서 들어온 거라,냉동실에 포장 원액이 정렬됨,검수 근거,최종 제품 상태까지 이어지는 공정을 보여준다.
24,00:33.50 ~ 00:35.00,00:34.25,수입 원가만 한대라고요!!,제품과 정가 표지 앞 판매자,판매자 저항,가격 인하가 어렵다는 근거로 협상 긴장을 유지한다.
25,00:35.00 ~ 00:36.00,00:35.50,그러니까 이렇게 좋은 진짜 생즙을,작은 병의 노란 원액을 손에 듦,가치 재정리,제품 장점을 최종 가격 요구의 명분으로 바꾼다.
26,00:36.00 ~ 00:37.50,00:36.75,가격 후려 없이 왕창 쟁여가,"판매자가 39,800원 표지 앞에서 얼굴을 감쌈",대량 구매 압박,구매 수량과 할인을 교환하려 한다.
27,00:37.50 ~ 00:38.50,00:38.00,안 깎아줘요!!!,검은 장갑이 하트 모양을 만들고 판매자가 거부,코믹 저항,감정적인 거부로 다음 반전을 키운다.
28,00:38.50 ~ 00:40.00,00:39.25,비밀링크특가 75% 할인해서,판매자가 비밀링크 특가 표지를 꺼냄,최종 할인 예고,할인의 범위와 구매 경로를 동시에 공개한다.
29,00:40.00 ~ 00:41.00,00:40.50,"1kg에 9,900원!!","9,900원 가격표와 제품을 화면 중앙에 고정",최종 가격,가장 중요한 숫자를 단독 장면으로 각인한다.
30,00:41.00 ~ 00:42.50,00:41.75,깔라만시 원료잖아? / 착즙 원료도 많은데,판매자가 손바닥을 펴며 손실을 설명,판매자 항변,낮은 가격의 비현실성을 캐릭터 반응으로 강조한다.
31,00:42.50 ~ 00:44.00,00:43.25,미친 최저가라고ㅠㅠ,"판매자가 주먹을 쥐고 9,900원 표지 앞에서 호소",혜택 감정화,판매자의 손해 반응으로 할인폭을 체감시킨다.
32,00:44.00 ~ 00:45.00,00:44.50,대신 최소주문은,판매자가 손가락으로 조건을 예고,조건 예고,가격 승인 뒤 구매 조건을 자연스럽게 붙인다.
33,00:45.00 ~ 00:46.00,00:45.50,딱 2개 이상부터,손가락 두 개를 펼치고 파우치를 듦,최소 수량,숫자와 제스처를 일치시킨다.
34,00:46.00 ~ 00:47.50,00:46.75,근데 생물이라 터지지 않게,제품 앞에서 두 손가락을 유지하며 설명,포장 근거,최소 수량 조건을 포장 안정성과 연결한다.
35,00:47.50 ~ 00:49.00,00:48.25,3중 안전포장까지 들어간단 말이에요ㅠㅠ,스티로폼 상자 속 냉동 파우치,배송 증거,실제 포장 화면으로 배송 불안을 줄인다.
36,00:49.00 ~ 00:51.00,00:50.00,야 좋은데.. 뭔가 살짝 아쉬우니까,검은 장갑이 제품을 감싸며 다시 흥정,추가 혜택 예고,최종 가격 뒤에도 한 번 더 사건을 이어간다.
37,00:51.00 ~ 00:52.00,00:51.50,5팩 이상 사면,제품을 정면에 두고 수량 조건을 제시,장바구니 확대,무료배송과 묶어 객단가를 높인다.
38,00:52.00 ~ 00:53.50,00:52.75,시원하게 무료배송 쏘시죠!!!,검은 장갑이 제품을 감싸며 판매자를 압박,추가 혜택 요구,배송비 장벽을 소비자가 대신 제거한다.
39,00:53.50 ~ 00:55.00,00:54.25,이미 원가 후려쳤는데...,마진율 -3.40% 표지를 든 판매자,판매자 손실,숫자 화면으로 혜택이 과감하다는 인상을 만든다.
