장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:02.00,00:00.80,붓기와 체지방 관리 때문에 깔라만시 마셔도,농장 배경의 중년 남성이 음료와 상품을 들고 설명,문제 훅,타깃의 사용 목적을 첫 문장에서 정확히 부른다.
2,00:02.00 ~ 00:05.00,00:03.20,효과 못보신 분들을 위해,비포·애프터 얼굴 비교 이미지를 화면에 겹침,실패 공감,기존 제품에 실망한 고객을 재타깃한다.
3,00:05.00 ~ 00:08.00,00:06.20,농장에서 갓 따 그대로 짜낸,화자가 아이스박스 속 깔라만시 제품을 정면 제시,산지 USP,화자·농장·상품을 한 프레임에 넣어 직송 인상을 준다.
4,00:08.00 ~ 00:10.00,00:08.80,100% 비가열 생즙으로,현장에서 과즙을 짜는 삽입 영상,제조 USP,추상적인 ‘비가열’을 실제 착즙 장면으로 설명한다.
5,00:10.00 ~ 00:12.00,00:10.80,"1kg에 단돈 9,900원!",상품을 든 화자의 정면 컷,가격 훅,중량과 가격을 한 문장으로 단순화한다.
6,00:12.00 ~ 00:14.00,00:12.80,무료배송으로 가져왔습니다!,아이스박스와 상품을 크게 보여줌,추가 혜택,가격 직후 배송비 장벽까지 제거한다.
7,00:14.00 ~ 00:17.00,00:15.20,시중 99%는 끓여서 영양이 파괴되지만,냄비에 과실을 끓이는 비교 삽입 영상,경쟁 방식 비교,일반 제품의 약점을 시각적으로 제시한다.
8,00:17.00 ~ 00:18.00,00:17.40,이건 착즙 직후 꽁꽁 얼려,상품을 든 화자의 정면 설명,공정 차별화,냉동을 영양 보존의 이유로 연결한다.
9,00:18.00 ~ 00:21.00,00:19.20,레몬 38배 비타민C를 그대로 살려서,원형 그래픽과 상품을 함께 노출,수치 USP,비교 가능한 숫자로 효능 이미지를 강화한다.
10,00:21.00 ~ 00:22.00,00:21.40,시원한 물에 타 마시면,생과를 짜 음료에 넣는 삽입 영상,사용법,구매 후 섭취 방법을 즉시 이해시킨다.
11,00:22.00 ~ 00:26.00,00:23.80,몸속 찌꺼기가 싹 빠지는 느낌!,화자가 음료를 마시고 개운한 표정을 지음,체감 후기,강한 체감 표현과 실제 음용 장면을 결합한다.
12,00:26.00 ~ 00:28.00,00:26.80,"근데 단돈 9,900원?",상품을 들고 놀란 표정을 짓는 화자,가격 재강조,USP 뒤에 가격을 다시 제시해 가치 대비를 만든다.
13,00:28.00 ~ 00:29.00,00:28.40,이 가격에 농장 직송 생착즙은,깔라만시 과실이 대량으로 놓인 산지 영상,대체 불가성,가격·산지·공정을 한 문장에 압축한다.
14,00:29.00 ~ 00:31.00,00:29.80,진짜 없다니까요?,상품을 든 화자의 정면 강조,희소 가치,구어체 단정으로 비교 탐색을 끝낸다.
15,00:31.00 ~ 00:32.00,00:31.40,한정 수량이라,화자가 상품을 가까이 듦,수량 제한,마감 이유를 먼저 제시한다.
16,00:32.00 ~ 00:34.00,00:32.80,재고 빠지면 바로 종료되니,포장 라인에서 제품을 상자에 담는 장면,긴급성,실제 재고·포장 화면으로 품절 가능성을 보강한다.
17,00:34.00 ~ 00:36.00,00:34.80,아래 링크에서 비밀특가로,화자가 아이스박스를 든 채 링크 위치를 암시,비밀특가 CTA,채널 한정 혜택처럼 느끼게 한다.
18,00:36.00 ~ 00:37.44,00:36.40,빨리 챙겨가세요!,상품 정면과 캐릭터 스티커로 마무리,긴급 CTA,짧은 명령형으로 행동을 촉구한다.
