장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:01.00,00:00.40,이거 알고 나면,정육 작업자가 큰 등심 원육을 자르는 장면,미완성 훅,문장을 일부러 끝내지 않아 다음 자막을 보게 한다.
2,00:01.00 ~ 00:02.00,00:01.40,소고기 비싸서 못 사 먹어요,같은 정육 장면에서 칼질을 이어감,통념 제시,고객의 대표 불만을 직설적으로 호출한다.
3,00:02.00 ~ 00:03.00,00:02.40,그 돈이면,마블링 원육을 자르는 손 클로즈업,가격 반전 예고,짧은 연결구로 비교 결과를 지연한다.
4,00:03.00 ~ 00:04.00,00:03.40,집에서 소고기 배 터지게 먹으니까요!,원육 슬라이스가 쌓이는 정육 장면,해결 제시,‘배 터지게’라는 강한 생활어로 가성비를 감각화한다.
5,00:04.00 ~ 00:06.00,00:04.80,"와, 여러분 국산소 등심을",집 불판에서 두꺼운 등심을 집어 드는 먹방 장면,상품 공개,완성 음식 비주얼로 즉시 식욕을 만든다.
6,00:06.00 ~ 00:07.00,00:06.40,"4,980원에 먹을 수 있다면 / 100g당",팬 위에서 두꺼운 고기를 굽고 뒤집음,가격 훅,구체 단가를 크게 노출해 핵심 제안을 만든다.
7,00:07.00 ~ 00:08.00,00:07.40,믿으시겠어요..?,지글거리는 고기 초근접,의심 유도,시청자의 의심을 대신 말해 검증 파트로 연결한다.
8,00:08.00 ~ 00:09.00,00:08.40,요즘은 외식 끊고,노릇하게 익은 등심 전체를 보여줌,생활 변화,외식 대체라는 사용 상황을 선명하게 제시한다.
9,00:09.00 ~ 00:10.00,00:09.40,집에서 이거 구워먹는데,구운 고기를 먹기 좋게 자르는 장면,사용 경험,UGC 말투로 실제 후기처럼 들리게 한다.
10,00:10.00 ~ 00:11.00,00:10.40,100kg의 저희 아빠도,아버지 세대 남성이 식탁에서 고기를 먹음,증언자 등장,구체적인 체중을 코믹한 신뢰 장치로 쓴다.
11,00:11.00 ~ 00:12.00,00:11.40,“고기 한 팩 더 없냐?”,아버지가 고기를 먹으며 카메라를 향해 질문,대사형 후기,직접 인용으로 리뷰를 사건처럼 만든다.
12,00:12.00 ~ 00:13.00,00:12.40,라고 물어보실 정도로,젓가락으로 고기를 크게 들어 올림,후기 연결,반응의 강도를 다음 평가로 연결한다.
13,00:13.00 ~ 00:14.00,00:13.40,맛있다고 극찬하시더라고요?,육즙이 흐르는 스테이크 표면 클로즈업,후기 결론,가족 증언과 음식 증거를 동시에 마무리한다.
14,00:14.00 ~ 00:16.00,00:14.80,"이게 웬만한 삼겹살 가격이랑 / 4,980원(100g당)",검은 장갑으로 생등심을 눌러 마블링을 보여줌,가격 비교,익숙한 삼겹살 가격을 기준점으로 사용한다.
15,00:16.00 ~ 00:18.00,00:16.60,마블링은 최상급에다,스마트폰 촬영 화면과 생등심 마블링 매크로,품질 증거,가격만 싼 상품이 아니라는 반박을 시각적으로 제시한다.
16,00:18.00 ~ 00:19.00,00:18.40,굽자마자 떨어지는 육즙까지...,팬 속 고기에서 육즙이 흐르는 장면,감각 증거,보이는 육즙으로 품질 주장을 증명한다.
17,00:19.00 ~ 00:20.00,00:19.40,한입 먹자마자,어머니 세대 여성이 고기를 먹는 장면,리액션 예고,먹는 순간을 끊어 다음 감각 표현을 기다리게 한다.
18,00:20.00 ~ 00:21.00,00:20.40,입에서 사르르~ 녹아내리는 거 있죠?,만족한 표정과 반짝이 효과,감각 후기,의성어와 효과로 부드러움을 과장해 기억시킨다.
19,00:21.00 ~ 00:23.00,00:21.80,사장님이 직접 발로 뛰어,사람들이 모인 현장 이미지를 빠르게 삽입,가격의 이유,문자 그대로의 ‘발로 뛰다’를 밈성 장면으로 치환한다.
20,00:23.00 ~ 00:24.00,00:23.40,현장 도매가 그대로인,생등심을 정갈하게 진열,유통 근거,가격 혜택을 도매 구조와 연결한다.
21,00:24.00 ~ 00:25.00,00:24.40,맞춰왔다고 하시니,트레이의 생등심을 위에서 보여줌,근거 연결,구어체 후기로 신뢰 파트를 자연스럽게 잇는다.
22,00:25.00 ~ 00:27.00,00:25.80,역시 누적판매 67만개 찍은 데는,판매 문구 캡처와 구운 고기 단면,사회적 증거,정확한 판매 수량으로 선택 불안을 낮춘다.
23,00:27.00 ~ 00:28.00,00:27.40,다 이유가 있었네~,아버지가 고기를 먹고 만족하는 장면,검증 결론,증거를 친근한 한마디로 정리한다.
24,00:28.00 ~ 00:30.00,00:28.80,제가 특가링크 여기서만 공유드릴테니,생등심 포장과 상품 페이지 가격을 함께 노출,희소성 CTA,‘여기서만’으로 비밀 공유 느낌을 만든다.
25,00:30.00 ~ 00:31.32,00:30.50,특가끝나기전에 얼른 쟁여두세요!,아이의 맛있다는 반응과 고기 먹방,마감 CTA,가족 반응을 마지막 증거로 두고 즉시 구매를 촉구한다.
