장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:01.00,00:00.50,우리 애가 밥 먹다가,엄마가 팬 옆에서 아이에게 고기를 먹여줌,가족 문제 훅,부모 타깃이 익숙한 식사 상황으로 시작한다.
2,00:01.00 ~ 00:02.30,00:01.65,“엄마! 고기 더 줘!”,아이가 고기를 먹고 엄마를 바라봄,직접 대사,아이의 요구를 인용해 맛을 간접 증명한다.
3,00:02.30 ~ 00:03.50,00:02.90,한 건 처음이에요!,엄마와 아이가 만족스럽게 웃음,반응 결론,처음이라는 표현으로 변화의 크기를 강조한다.
4,00:03.50 ~ 00:04.80,00:04.15,팬 예열 끝내고,여성이 생등심을 집게로 들어 팬에 올림,조리 시작,간단한 동작부터 보여줘 실제 집밥 후기처럼 시작한다.
5,00:04.80 ~ 00:05.80,00:05.30,등심 싹 올리면,두꺼운 등심이 팬에 닿는 순간,상품 투입,자막과 조리 동작을 정확히 일치시킨다.
6,00:05.80 ~ 00:07.20,00:06.50,치익~ 소리와 함께,버터가 녹는 팬에서 등심을 굽는 초근접,청각 자극,의성어로 소리까지 상상하게 만든다.
7,00:07.20 ~ 00:08.00,00:07.60,온 집안에 퍼지는,등심 표면이 익고 연기가 오르는 장면,감각 예고,문장을 끊어 다음 강한 표현을 기다리게 한다.
8,00:08.00 ~ 00:08.50,00:08.25,미친,지글거리는 스테이크 클로즈업,강조,한 단어만 크게 분리해 리듬을 만든다.
9,00:08.50 ~ 00:09.30,00:08.90,냄새!!!!,노릇하게 익은 고기에서 김이 오름,후각 자극,짧은 감탄형으로 조리 매력을 각인한다.
10,00:09.30 ~ 00:10.20,00:09.75,"와, 여러분",팬 가득 구운 고기를 앞에 둔 여성,화자 호출,진행자가 카메라를 보며 시청자를 다시 부른다.
11,00:10.20 ~ 00:12.40,00:11.30,이 퀄리티의 국내산 등심을,여성이 구운 등심을 보여주며 설명,상품·원산지,가격 공개 전 품질과 국내산을 먼저 고정한다.
12,00:12.40 ~ 00:13.20,00:12.80,100g당,가격 숫자가 붉은 자막으로 크게 등장,가격 단위,단위를 분리해 가격 오해를 줄인다.
13,00:13.20 ~ 00:14.20,00:13.70,"4,980원에",팬 가득 구운 고기와 가격 자막,가격 훅,구체 숫자를 단독 장면으로 강조한다.
14,00:14.20 ~ 00:15.10,00:14.65,먹을 수 있다면,여성이 카메라를 향해 설명,조건 제시,가격 제안을 질문형 결말로 연결한다.
15,00:15.10 ~ 00:16.00,00:15.55,믿으시겠어요?,화자가 손가락으로 카메라를 가리킴,의심 유도,시청자의 불신을 직접 호출해 근거 파트로 넘긴다.
16,00:16.00 ~ 00:17.70,00:16.85,웬만한 삼겹살 가격인데,화자가 구운 고기 한 점을 들어 보임,가격 비교,익숙한 삼겹살을 가격 앵커로 사용한다.
17,00:17.70 ~ 00:18.50,00:18.10,마블링은,화자가 고기를 들고 평가를 예고,품질 예고,평가를 한 박자 늦춰 다음 자막을 보게 한다.
18,00:18.50 ~ 00:19.00,00:18.75,최.상.,마블링이 선명한 구운 등심 단면,품질 단정,짧은 단어와 구두점을 이용해 확신을 준다.
19,00:19.00 ~ 00:19.60,00:19.30,굽자마자 떨어지는,검은 장갑으로 스테이크 단면을 벌림,육즙 예고,실물 증거를 보여주며 문장을 끊는다.
20,00:19.60 ~ 00:21.30,00:20.45,육즙 폭탄 좀 보세요,핑크빛 단면에서 육즙이 흐르는 초근접,감각 증거,과장어를 실제 육즙 화면으로 받친다.
21,00:21.30 ~ 00:22.10,00:21.70,한입 먹자마자 입에서,젓가락으로 두꺼운 고기를 들어 올림,시식 전개,먹는 순간의 결과를 다음 장면으로 지연한다.
22,00:22.10 ~ 00:23.20,00:22.65,사르르~ 녹아내리니까,구운 고기 단면을 화면 가까이 제시,식감 후기,의태어로 부드러움을 직관적으로 표현한다.
23,00:23.20 ~ 00:24.00,00:23.60,외식할 필요가,화자가 팬 앞에서 양손으로 설명,생활 효익 예고,외식 대체 효익을 분절해 강조한다.
24,00:24.00 ~ 00:24.80,00:24.40,아예 없습니다,화자가 손을 저으며 단정,생활 효익,강한 단정형으로 가정식 대안을 확정한다.
25,00:24.80 ~ 00:26.30,00:25.55,사장님이 직접 발로 뛰어,화자가 주먹을 쥐고 현장성을 강조,가격 근거,저가의 이유를 판매자의 행동 서사로 바꾼다.
26,00:26.30 ~ 00:27.20,00:26.75,현장 도매가,노란 강조 자막과 화자의 손동작,유통 근거,핵심 가격 근거를 짧게 떼어낸다.
27,00:27.20 ~ 00:28.00,00:27.60,그대로 맞춰온 거라,팬 가득 고기를 가리키는 화자,근거 결론,도매가가 가능한 이유를 마감한다.
28,00:28.00 ~ 00:28.50,00:28.25,가능한,화자가 손바닥을 펴며 다음 문장을 예고,연결,한 단어 분절로 리듬을 높인다.
29,00:28.50 ~ 00:29.30,00:28.90,미친 가격!!!!,붉은 대형 자막과 과장된 표정,가격 결론,강한 생활어로 혜택을 감정화한다.
