장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:01.00,00:00.50,추석 선물로,한복 차림 남성이 알등심 선물 상자를 정면 제시,명절 상황 훅,첫 프레임부터 선물 맥락과 상품을 동시에 보여준다.
2,00:01.00 ~ 00:01.70,00:01.35,이거 받으면,선물 상자를 가리키는 화자,결과 예고,문장을 끊어 강한 평가를 기다리게 한다.
3,00:01.70 ~ 00:02.40,00:02.05,진짜 끝났죠,붉은 강조 자막과 만족한 표정,강한 평가,짧은 단정형으로 상품 우위를 선언한다.
4,00:02.40 ~ 00:03.00,00:02.70,아직도,화자가 손바닥을 펴며 질문,통념 도전,기존 선물 관행을 공격할 준비를 한다.
5,00:03.00 ~ 00:04.40,00:03.70,스팸세트? 과일세트?,화자 옆에 대체 선물명이 팝업처럼 등장,대안 비교,익숙한 선택지를 직접 지목한다.
6,00:04.40 ~ 00:05.50,00:04.95,선물하는 사람 있습니까?,화자가 의아한 표정으로 카메라를 봄,도발 질문,시청자의 기존 선택을 낡은 것으로 느끼게 한다.
7,00:05.50 ~ 00:06.00,00:05.75,에이~,화자가 웃으며 손을 젓고 화면 전환,코믹 전환,강한 도발을 가벼운 말투로 완화한다.
8,00:06.00 ~ 00:07.50,00:06.75,이게 토마호크의 핵심부위,숯불 그릴 위 두꺼운 알등심을 굽는 장면,부위 USP,생소한 상품을 익숙한 토마호크와 연결한다.
9,00:07.50 ~ 00:08.50,00:08.00,알등심이라,그릴 자국이 난 스테이크를 뒤집음,상품 정의,핵심 상품명을 조리 결과와 함께 고정한다.
10,00:08.50 ~ 00:10.80,00:09.65,마블링부터 육즙까지 미쳤는데,숯불 위 알등심에서 육즙이 오르는 초근접,감각 USP,마블링과 육즙을 한 문장으로 압축한다.
11,00:10.80 ~ 00:14.40,00:12.60,추석 특가로 1KG를 7만원대로 구매할 수 있어요,선물 상자 위로 지폐가 떨어지고 가격 자막이 등장,가격 혜택,선물 포장·중량·가격을 한 프레임에서 이해시킨다.
12,00:14.40 ~ 00:16.00,00:15.20,국대한우에서만 가능한 건데,농장 관계자들이 축사에서 소를 확인,독점 근거,브랜드와 산지 장면으로 가격의 출처를 만든다.
13,00:16.00 ~ 00:18.50,00:17.25,굽자마자 퍼지는 고소한 육향,집게로 구운 스테이크를 들어 올림,후각 USP,조리 직후 장면과 향 묘사를 결합한다.
14,00:18.50 ~ 00:21.50,00:20.00,썰을수록 터지는 촉촉한 육즙이 미쳤어요!,핑크빛 단면을 젓가락으로 벌려 육즙을 보여줌,육즙 증거,주장과 정확히 맞는 단면 매크로를 붙인다.
15,00:21.50 ~ 00:23.50,00:22.50,누적구매 7만건에 평점 4.9점인데,상품 후기 페이지를 구운 고기 위에 겹쳐 보여줌,사회적 증거,구매량과 평점을 동시에 제시한다.
16,00:23.50 ~ 00:25.00,00:24.25,한입 먹어보니,한복 차림 화자가 고기를 크게 베어 먹음,직접 시식,리뷰 숫자를 화자의 경험으로 연결한다.
17,00:25.00 ~ 00:26.00,00:25.50,이유를 알겠더라구요,화자가 눈을 감고 맛을 음미,검증 결론,직접 반응으로 사회적 증거를 회수한다.
18,00:26.00 ~ 00:27.50,00:26.75,이정도 퀄리티면 사실 백화점에서,여러 줄의 알등심 단면이 나란히 놓인 장면,고가 비교 예고,백화점을 기준으로 가치 앵커를 만든다.
19,00:27.50 ~ 00:29.00,00:28.25,30만원 받는데,같은 고기 단면에 가격 비교 자막,정가 앵커,높은 비교 가격으로 7만원대의 체감 할인폭을 키운다.
20,00:29.00 ~ 00:30.00,00:29.50,국대한우에서는,화자가 선물 상자를 들고 카메라를 봄,브랜드 전환,비교 기준에서 실제 구매처로 이동한다.
21,00:30.00 ~ 00:31.00,00:30.50,뼈 무게 없이 알등심만,화자가 상자 속 고기를 가리킴,구성 USP,먹지 못하는 뼈 무게가 없다는 실속을 강조한다.
22,00:31.00 ~ 00:33.00,00:32.00,1KG를 7만원대에 구매 가능하니까,상자 가득 알등심과 큰 가격 자막,혜택 재확정,CTA 전 중량과 가격을 다시 고정한다.
23,00:33.00 ~ 00:35.11,00:34.05,추석 선물로 진짜 최고죠,화자가 엄지를 들고 선물 상자를 정면 제시,선물 CTA,초반 질문을 확신형 추천으로 마무리한다.
