장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:02.00,00:00.80,25년 동안 소고기만 판매해온,정육 작업자가 매장에서 고기를 손질,화자 신뢰 훅,개인의 경력을 숫자로 먼저 제시한다.
2,00:02.00 ~ 00:03.00,00:02.40,고기 수저입니다!,큰 등심 원육을 자르는 손 클로즈업,캐릭터 정의,‘금수저’를 변형한 표현으로 기억 가능한 화자를 만든다.
3,00:03.00 ~ 00:05.00,00:03.80,소고기 2배 비싸게 드시나요?,두꺼운 생고기를 팬에 올림,손실 질문,현재 구매 가격에 의문을 던져 주목을 끈다.
4,00:05.00 ~ 00:06.00,00:05.40,저희는 반값인데도,구운 등심을 젓가락으로 들어 올림,가격 반전,싼 가격과 높은 품질의 역설을 예고한다.
5,00:06.00 ~ 00:08.00,00:06.80,압도적인 퀄리티를 자랑합니다,밥 위에 고기를 높게 쌓은 장면,품질 주장,풍성한 양과 윤기로 ‘압도적’을 시각화한다.
6,00:08.00 ~ 00:09.00,00:08.40,그 이유 딱 알려드릴게요,먹방 남성이 고기를 먹고 반짝이 효과,근거 예고,주장 뒤에 이유를 약속해 이탈을 막는다.
7,00:09.00 ~ 00:10.00,00:09.40,비결은 딱 하나,축사에서 소를 돌보는 사람들,핵심 압축,한 가지 비결로 메시지 복잡도를 낮춘다.
8,00:10.00 ~ 00:11.00,00:10.40,아버지가 직접 선별해,축사에서 체크리스트로 소를 확인,가족·검수,가족 서사와 직접 행동으로 신뢰를 높인다.
9,00:11.00 ~ 00:12.00,00:11.40,도축하는,같은 축사 검수 장면,과정 연결,짧게 끊어 다음 조건을 기다리게 한다.
10,00:12.00 ~ 00:13.00,00:12.40,‘28개월 이내 어린 소’에,정육 작업자가 원육을 자름,원육 기준,구체적인 월령으로 품질 근거를 정밀하게 만든다.
11,00:13.00 ~ 00:14.00,00:13.40,있습니다,원육 슬라이스가 쌓이는 장면,근거 확정,짧은 종결로 비결을 고정한다.
12,00:14.00 ~ 00:15.00,00:14.40,어린 소 특성상,팬에 생고기를 올리는 장면,원인 설명,원육 조건과 식감 효익을 논리적으로 연결한다.
13,00:15.00 ~ 00:17.00,00:15.80,고깃결이 미치도록 연하거든요,구운 고기를 가위로 자르고 단면을 보여줌,식감 USP,강한 구어체와 실제 절단 장면으로 연함을 증명한다.
14,00:17.00 ~ 00:18.00,00:17.40,특히 꼼꼼한 검수를 거친,마블링이 선명한 생등심을 장갑으로 들고 있음,검수 강화,품질 관리 단계를 한 번 더 추가한다.
15,00:18.00 ~ 00:20.00,00:18.80,100% 국내산 프리미엄 육우만,젓가락으로 육즙 가득한 고기를 들어 올림,원산지 USP,국내산과 결과 비주얼을 한 장면에 연결한다.
16,00:20.00 ~ 00:21.00,00:20.40,보내드리기 때문에,밥 위에 고기를 올리는 장면,배송 약속,검수 결과가 실제 고객에게 전달된다는 의미를 만든다.
17,00:21.00 ~ 00:22.00,00:21.40,잡내 하나 없이,아버지 세대 남성이 고기를 씹음,불안 제거,대표적인 고기 불만을 직접 제거한다.
18,00:22.00 ~ 00:23.00,00:22.40,씹을 때마다 터지는,같은 인물의 만족한 표정,감각 예고,문장을 끊어 육즙 장면을 기다리게 한다.
19,00:23.00 ~ 00:24.00,00:23.40,육즙 자체가 아예 다릅니다,스테이크 표면에서 육즙이 흐름,감각 증거,주장과 정확히 일치하는 매크로 장면을 붙인다.
20,00:24.00 ~ 00:26.00,00:24.80,중간 유통 거품을 싹 다 빼서,팬 위 고기를 뒤집고 육즙을 보여줌,가격 근거,저렴한 이유를 품질이 아닌 유통 구조로 돌린다.
21,00:26.00 ~ 00:28.00,00:26.80,웬만한 삼겹살 가격이랑,고기로 밥을 크게 감싼 장면,가격 비교,친숙한 삼겹살을 비교 기준으로 사용한다.
22,00:28.00 ~ 00:29.00,00:28.40,별 차이가 없으니까,같은 한입 컷을 유지,비교 결론,짧은 결론으로 가격 인식을 단순화한다.
23,00:29.00 ~ 00:30.00,00:29.40,이 가격이면,팬에서 고기를 굽는 장면,효익 예고,가격이 바꾸는 생활을 다음 문장으로 연결한다.
24,00:30.00 ~ 00:31.00,00:30.40,외식할 필요 없이,밥 위에 고기를 얹는 장면,외식 대체,비용 절감 효익을 생활 상황으로 제시한다.
25,00:31.00 ~ 00:32.00,00:31.40,집에서 소고기로만,어머니 세대 여성이 집에서 고기를 먹음,사용 장면,실제 가정 식탁으로 메시지를 증명한다.
26,00:32.00 ~ 00:33.00,00:32.40,배 터지게 드실 수 있는 거죠,불판 가득 고기와 만족 리액션,풍성함,강한 생활어로 양과 만족을 동시에 소구한다.
27,00:33.00 ~ 00:34.00,00:33.40,진짜 도매가 그대로,정육 작업자가 고기를 자름,가격 신뢰,가격의 출처를 다시 현장으로 돌린다.
28,00:34.00 ~ 00:36.00,00:34.80,"100g 기준 4,980원이라는",생등심을 손으로 눌러 마블링을 보여줌,구체 가격,단위를 분명히 해 오해를 줄이고 숫자를 각인한다.
29,00:36.00 ~ 00:37.00,00:36.40,압도적인 가격!,마블링 원육을 화면 가득 확대,혜택 결론,짧은 감탄형으로 가격 파트를 끝낸다.
30,00:37.00 ~ 00:38.00,00:37.40,여기서만 공유해 드릴 테니,윤기 나는 고기 덮밥,비밀 공유 CTA,채널 한정 느낌으로 행동 이유를 만든다.
31,00:38.00 ~ 00:39.38,00:38.50,지금 바로 확인하세요!,같은 고기 덮밥을 화면 중앙에 유지,직접 CTA,최종 행동을 짧고 명확하게 지시한다.
