장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:01.50,00:00.75,추석 선물로 소고기는 좋은데,정육점 남성이 4칸 소고기 선물세트를 들고 있음,욕구 인정,좋은 선물이라는 장점부터 인정한다.
2,00:01.50 ~ 00:02.50,00:02.00,가격이 부담스러우셨다면,같은 선물세트를 화면 가까이 제시,장벽 제시,구매를 막는 가격 문제를 즉시 호출한다.
3,00:02.50 ~ 00:04.50,00:03.50,이 영상 그냥 지나치면 안돼요,부모 세대 남성이 선물세트를 받고 기뻐함,이탈 방지,받는 사람의 반응을 먼저 보여줘 시청을 붙잡는다.
4,00:04.50 ~ 00:06.00,00:05.25,이번 추석만 추석 선물용으로,여성 정육사가 원육을 손질,기간·용도,이번 명절 한정 행사라는 맥락을 만든다.
5,00:06.00 ~ 00:07.00,00:06.50,중간 유통 싹 빼고,정육사가 칼로 고기 가장자리를 정리,가격 근거,유통 제거를 손질 동작과 연결한다.
6,00:07.00 ~ 00:08.50,00:07.75,"찐 도매가로 할인해왔습니다 / 100g 기준 4,980원",마블링 등심과 가격 라벨,가격 공개,도매가 이유와 정확한 단가를 함께 제시한다.
7,00:08.50 ~ 00:09.50,00:09.00,국내산 프리미엄 어린 소만,정육사가 두꺼운 등심을 자름,원육 조건,국내산·월령 이미지를 품질 근거로 쓴다.
8,00:09.50 ~ 00:10.50,00:10.00,직접 선별해 도축해서 그런지,정육 현장에서 고기를 선별·손질,공정 근거,낮은 가격이 품질 저하 때문이라는 불안을 막는다.
9,00:10.50 ~ 00:12.00,00:11.25,부드럽고 잡내가 없어,불판 위 구운 고기를 집게로 자름,식감·불안 제거,대표적인 구매 장벽을 조리 장면과 함께 해소한다.
10,00:12.00 ~ 00:12.70,00:12.35,남녀노소 인기가 많아,익어가는 고기를 팬에서 뒤집음,타깃 확장,가족 모두가 먹는 선물로 범위를 넓힌다.
11,00:12.70 ~ 00:13.50,00:13.10,명절에 부모님께 선물했더니,부모 세대 남성이 고기를 먹음,가족 후기 예고,실제 선물 사용 장면으로 넘어간다.
12,00:13.50 ~ 00:15.00,00:14.25,다음부터 이것만 사와라,아버지가 고기를 먹으며 만족한 표정,직접 인용 후기,부모의 대사를 빌려 재구매 의사를 증명한다.
13,00:15.00 ~ 00:16.00,00:15.50,라고 하실만큼,같은 인물이 맛을 음미,후기 연결,평가의 강도를 다음 문장으로 잇는다.
14,00:16.00 ~ 00:17.00,00:16.50,맛있다고 극찬하시더라구요?,육즙이 맺힌 스테이크 초근접,후기 결론,가족 반응과 음식 증거를 동시에 마감한다.
15,00:17.00 ~ 00:18.00,00:17.50,삼겹살과 비슷한 가격으로,부모가 선물 상자를 품에 안음,가격 비교,친숙한 돼지고기를 가격 기준으로 삼는다.
16,00:18.00 ~ 00:19.50,00:18.75,소고기를 선물할 수 있으니까,선물세트를 보고 웃는 부모,선물 효익,낮은 가격을 감정적 만족으로 전환한다.
17,00:19.50 ~ 00:21.00,00:20.25,"주는 사람도 부담 없고,",아이가 식탁에서 고기를 먹음,구매자 효익,선물하는 사람의 가격 부담을 해소한다.
18,00:21.00 ~ 00:22.50,00:21.75,받는 사람도 좋아하는 선물,아이가 고기를 먹으며 만족,수령자 효익,주는 사람·받는 사람 양쪽의 이득을 완성한다.
19,00:22.50 ~ 00:25.84,00:24.17,"명절맞이 추석 선물 / 49,800원",베이지색 정적 상품 카드에 선물세트와 가격 노출,가격 CTA,마지막 3초간 상품과 가격을 고정해 클릭 전 기억을 남긴다.
