장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:01.00,00:00.40,고기 살 때마다,포장된 생등심을 손으로 들어 보여줌,상황 훅,빈번한 구매 상황을 짧게 호출한다.
2,00:01.00 ~ 00:02.00,00:01.40,마장동보다 싸고 좋은 곳 없을까,마장축산물시장 입구와 시장 내부,비교 훅,대표적인 고기 시장을 기준으로 가격·품질 욕구를 동시에 제시한다.
3,00:02.00 ~ 00:03.00,00:02.40,찾아 헤매셨죠?,원육을 손으로 누르는 정육 현장,공감 질문,시청자의 탐색 피로를 대신 말한다.
4,00:03.00 ~ 00:05.00,00:03.80,"오늘만 반짝 특가가 아니라 / 100g당 4,980원",두꺼운 고기를 팬에 올리는 장면,혜택 차별화,한시 할인과 상시 가격을 대비한다.
5,00:05.00 ~ 00:07.00,00:05.80,"365일 도매가로 판매하는 곳을 / 100g당 4,980원",고기 덮밥과 밥 위에 올린 구운 고기,핵심 제안,‘365일’로 지속성을 강조한다.
6,00:07.00 ~ 00:09.00,00:07.80,25년 동안 고기만 전문으로 다뤄온,숙련자가 큰 등심 원육을 자름,전문성,경력 숫자와 작업 장면으로 신뢰를 만든다.
7,00:09.00 ~ 00:11.00,00:09.80,도매 회사가 직접 운영하는 곳으로,위생복 작업자들이 포장 라인을 운영,운영 주체,직접 운영을 생산 현장으로 증명한다.
8,00:11.00 ~ 00:13.00,00:11.80,복잡한 중간 유통 마진을 싹 다 빼고,팬에서 익는 고기를 뒤집는 장면,가격 근거,낮은 가격의 원인을 유통 구조로 설명한다.
9,00:13.00 ~ 00:15.00,00:13.80,"최고급 등심을 1년 내내 도매가 그대로! / 100g당 4,980원",흰 트레이에 가득 담긴 생등심,혜택 확정,상품과 가격을 같은 프레임에 고정한다.
10,00:15.00 ~ 00:17.00,00:15.80,신선한 국내산 우리 소만 엄선해서,축사에서 소와 농장 관계자를 보여줌,원산지·선별,산지 장면으로 신선도와 국내산 주장을 받친다.
11,00:17.00 ~ 00:19.00,00:17.80,굽는 순간부터 육즙과 향이,구운 등심 단면을 들어 올림,감각 USP,제품 결과를 매크로로 보여준다.
12,00:19.00 ~ 00:20.00,00:19.40,확실히 다릅니다!,육즙 가득한 고기를 팬에서 굽는 장면,차별화 결론,짧은 단정형 문장으로 비교를 마감한다.
13,00:20.00 ~ 00:21.00,00:20.40,한 입 먹어보면,남성이 미니 화로에서 고기를 먹음,체험 유도,시청자가 맛을 상상하도록 먹는 순간을 제시한다.
14,00:21.00 ~ 00:23.00,00:21.80,쫄깃하고 부드러운 감칠맛에,검은 장갑으로 구운 고기를 눌러 육즙을 보여줌,식감 증거,반대되는 듯한 쫄깃함·부드러움을 동시에 소구한다.
15,00:23.00 ~ 00:25.00,00:23.80,대형마트나 마장동 시장에서도 쉽게 보기 힘든,생등심 매크로와 슬라이스 장면,희소성,익숙한 유통채널과 비교해 상품 가치를 높인다.
16,00:25.00 ~ 00:27.00,00:25.80,"365일 독보적인 가격 경쟁력! / 100g당 4,980원",팬에서 스테이크가 익는 초근접,가격 재강조,CTA 전 가격을 다시 고정한다.
17,00:27.00 ~ 00:29.00,00:27.80,이제 비싼 고깃집 가서 돈 쓸 필요 없이,고기를 밥 위에 높게 쌓는 장면,대안 제시,외식비 절감이라는 생활 효익으로 전환한다.
18,00:29.00 ~ 00:31.00,00:29.80,집에서 최고급 우리 소를,팬에서 두꺼운 고기를 굽는 장면,사용 상황,집에서 즐기는 프리미엄 경험을 제시한다.
19,00:31.00 ~ 00:32.00,00:31.40,배 터지게 드셔보세요!,아버지 세대 남성의 만족스러운 식사,욕망형 CTA,대용량 가성비를 강한 생활어로 표현한다.
20,00:32.00 ~ 00:33.00,00:32.40,도매가 특성상 준비된 물량이,사람들이 모인 현장 이미지를 흐림 처리,마감 근거,희소성의 이유를 도매 물량으로 설명한다.
21,00:33.00 ~ 00:35.00,00:33.80,진짜 빠르게 소진되고 있으니,진공 포장육 여러 팩을 펼쳐 보임,긴급성,재고 소진을 시각적으로 전달한다.
22,00:35.00 ~ 00:36.00,00:35.40,품절되기 전에 / ▼제품 정보▼,집 불판에서 고기를 집어 올림,마감 CTA,품절 경고와 클릭 위치를 동시에 제시한다.
23,00:36.00 ~ 00:37.48,00:36.50,지금 바로 아래 링크를 눌러 / ▼제품 정보▼,밥과 고기를 한 숟가락에 올린 장면,행동 CTA,즉시 행동 문장으로 끝낸다.
