장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:02.00,00:00.80,아니 이게 피로 회복 치트키로 소문 난,여성이 주황색 음료를 마시는 UGC 장면,효익 훅,밈성 표현 ‘치트키’로 제품의 강점을 먼저 사건화한다.
2,00:02.00 ~ 00:03.00,00:02.40,생깔라만시 원액 맞죠?,검은 장갑이 병 제품을 카메라에 들이밂,상품 확인,제품명을 질문형으로 자연스럽게 공개한다.
3,00:03.00 ~ 00:05.00,00:03.80,저도 먹어보게 할인 좀 해주세요!!!,"정가 39,800원 표지 앞에서 손을 모아 부탁",갈등 시작,소비자의 요구로 할인 서사를 시작한다.
4,00:05.00 ~ 00:06.00,00:05.40,"(하, 또 시작이네....)",판매자 역할 여성이 머리를 감싸 쥠,코믹 반응,반복되는 흥정 설정으로 캐릭터 관계를 만든다.
5,00:06.00 ~ 00:07.00,00:06.40,이거 정가 4만원인거!!,상품 페이지 가격 캡처와 정가표,정가 앵커,높은 정가를 먼저 고정해 이후 할인을 크게 보이게 한다.
6,00:07.00 ~ 00:08.00,00:07.40,알고 말씀하세요??!!!,판매자가 정가 표지 앞에서 손짓,판매자 저항,가격 인하가 쉽지 않다는 인상을 만든다.
7,00:08.00 ~ 00:09.00,00:08.40,아니 누가 깔라만시를,검은 장갑이 가격표를 가리킴,가격 반박,시청자의 가격 저항을 대신 말한다.
8,00:09.00 ~ 00:10.00,00:09.30,4만 원이나 주고 사셨냐고요;;;,상품과 정가표를 손가락으로 가리킴,도발,정가를 과도하게 느끼도록 감정적 반응을 붙인다.
9,00:10.00 ~ 00:12.00,00:10.80,이거 레몬 30배 비타민C에,얼음물에 노란 과즙이 퍼지는 미장센,수치 USP,가격 논쟁 중간에 제품 가치를 투입한다.
10,00:12.00 ~ 00:13.00,00:12.40,붓기관리랑 체지방 배출에 특효인,몸매 관리 비주얼을 삽입,효익 USP,타깃이 원하는 결과를 빠르게 보여준다.
11,00:13.00 ~ 00:15.00,00:13.80,시니후린까지 들어있고,여러 병과 파우치를 테이블에 쏟아 놓음,성분 USP,낯선 성분명을 추가해 전문성 느낌을 만든다.
12,00:15.00 ~ 00:16.00,00:15.40,시중 99% 가열 제품과 달리,공장에서 과즙을 가열하는 장면,경쟁 비교,일반 제품 방식을 부정적 기준으로 세운다.
13,00:16.00 ~ 00:17.00,00:16.40,영양을 그대로 살린,투명 잔 속 과즙을 보여줌,효익 연결,비가열 공정과 영양 보존을 연결한다.
14,00:17.00 ~ 00:19.00,00:17.80,국내 유일 비가열 생즙이라,여성이 깔라만시 음료를 마심,차별화 USP,‘국내 유일’이라는 강한 포지셔닝을 사용한다.
15,00:19.00 ~ 00:20.00,00:19.40,지금도 마진 다 포기하고 파는 거예요!,상품과 정가표 앞 판매자,가격 방어,판매자 손해 서사로 현재가의 가치를 높인다.
16,00:20.00 ~ 00:21.00,00:20.40,그럼 감사 이벤트로,장갑 낀 손이 하트 모양을 만듦,할인 명분,감사 이벤트라는 사회적 명분을 만든다.
17,00:21.00 ~ 00:22.00,00:21.40,단골들만 아는,하트 손동작과 상품 진열,비밀성,폐쇄적인 혜택 느낌으로 관심을 높인다.
18,00:22.00 ~ 00:23.00,00:22.40,파격 특가 주세요!!!,검은 장갑이 가격표를 강하게 가리킴,요구 절정,소비자가 판매자를 압박하는 구도로 혜택의 당위성을 만든다.
19,00:23.00 ~ 00:25.00,00:23.80,"그럼 1kg 14,800원","가격표가 14,800원으로 바뀜",1차 가격 반전,단계식 가격 인하로 최종가를 더 기대하게 한다.
20,00:25.00 ~ 00:27.00,00:25.80,찔끔 할인할거면 하지마세요;;,검은 장갑이 X 표시를 만들며 가격을 거부,1차 가격 거절,첫 할인안을 거부해 협상극을 연장한다.
21,00:27.00 ~ 00:29.00,00:27.80,이거 착즙하자마자 급속 냉동으로,공장에서 생과를 세척·가공하는 장면,공정 근거,가격 추가 인하 전 다시 제품 가치를 방어한다.
22,00:29.00 ~ 00:30.00,00:29.40,갓딴 신선함을 그대로 살린,냉동 파우치 제품을 펼쳐 보임,신선도 USP,공정의 결과를 완제품 화면으로 연결한다.
23,00:30.00 ~ 00:31.00,00:30.40,100% 깔라만시 생즙에,여성이 아이스박스 상품을 받는 장면,제품 정의,희석 제품이 아니라는 인상을 강화한다.
24,00:31.00 ~ 00:33.00,00:31.80,베트남 최대규모 공장에서,대형 공장의 깔라만시 세척 라인,생산 규모,대량 생산 설비로 품질 관리 이미지를 만든다.
25,00:33.00 ~ 00:34.00,00:33.40,한국인 감독관이,농장에서 한국인과 현지 관계자가 함께 확인,관리 주체,해외 생산에 대한 불안을 한국인 검수로 줄인다.
26,00:34.00 ~ 00:35.00,00:34.40,현지에서 직접 검수해,농장 체크리스트 검수 장면,검수 증거,말과 일치하는 행동 장면을 붙인다.
27,00:35.00 ~ 00:36.00,00:35.30,수십 년 전부터,손에 깔라만시 과실을 가득 들고 보여줌,업력 연결,시간 축의 신뢰 근거를 추가한다.
28,00:36.00 ~ 00:37.00,00:36.30,일반 제품의 3배라구요;;;,제품 병을 검은 장갑으로 가까이 제시,가치 비교,비교 배수로 가격 방어를 마무리한다.
29,00:37.00 ~ 00:38.00,00:37.40,그러니까 그렇게 좋은 거,장갑 손 하트와 상품 진열,재협상 연결,제품 가치를 인정한 뒤 할인 명분으로 전환한다.
30,00:38.00 ~ 00:39.00,00:38.40,더 많은 분들이 맛보게,여성이 음료를 마시는 장면,대중화 명분,가격 인하를 브랜드 손해가 아닌 체험 확대처럼 포장한다.
31,00:39.00 ~ 00:41.00,00:39.80,진짜 미친가격에 풀어달라고요!,상품과 정가표를 손가락으로 압박,최종 협상,강한 구어체로 감정의 절정을 만든다.
